Airline Name,Overall_Rating,Review_Title,Review Date,Verified,Review,Aircraft,Type Of Traveller,Seat Type,Route,Date Flown,Seat Comfort,Cabin Staff Service,Food & Beverages,Ground Service,Inflight Entertainment,Wifi & Connectivity,Value For Money,Recommended
Aeroflot Russian Airlines,4,"""Horrible experience at Sheremetyevo Airport""",4th July 2021,TRUE,"  Horrible experience at Sheremetyevo Airport. Huge queue for check-in across the whole airport, not organized with lots of people cutting it. Very poor communication to passengers. Aeroflot representative said it is not their responsibility how their clients organize themselves in all that mess. Almost missed my flight (was called from the queue and then had to rush through passport control and security for the boarding). Flight attendants were good though.",,Business,Economy Class,Moscow to London,July 2021,3,4,4,1,2,3,2,no
Aeroflot Russian Airlines,1,"""not provided me with a refund""",27th June 2021,FALSE,"  My flight in 2020 was cancelled by Aeroflot Russia one week before the travel date. I have been waiting for over 15 months for a refund that was initially agreed by the airline, however they have not provided me with a refund despite weekly emails and contacts made to them.",,Couple Leisure,Economy Class,Manchester to Tokyo via Moscow,July 2020,,,,,,,1,no
Aeroflot Russian Airlines,1,"""I cannot use the e-voucher""",15th March 2021,TRUE,"  I had booked tickets for my family to visit me in Denmark in May 2020, the tickets got cancelled and no refund. I contacted customer care and they are suggesting e-voucher. I am ready to take the e-voucher but there is no flight from India to Denmark for this month, next month and in May 2021. So logically I cannot use the e-voucher. Aeroflot don't have flight for using e-voucher so please refund my money.",,Business,Economy Class,Delhi to Copenhagen via Moscow,April 2020,,,,,,,1,no
Aeroflot Russian Airlines,1,"""refused to provide a compensation""",12th January 2021,TRUE,"  When countries announces border closure, Aeroflot did not notify me of the cancellation of the flight before the borders were closed. I learned about the flight cancellation from the media. When I phoned Aeroflot to change the date of my flight, =I had to stay in the telephone queue for around an hour, and when the operator picked up the phone, she ask me to stay on the line a minute, however went away for at least half an hour and never returned. As tickets for alternative flights were being bought by other people and prices were rising very quickly, the only realistic option was to buy a new ticket from Aeroflot for a date before the closure of borders, and then claim a refund. The price of this new ticket was several times more expensive than the original ticket. Aeroflot have refused to provide a refund for the new ticket. Aeroflot cancelled the flight due to border closure, failed to inform me about it before the border closures, failed to change the date of the flight, and refused to provide a compensation for the new ticket.",,Family Leisure,Economy Class,Riga to Dubai via Moscow,March 2020,,,,,,,1,no
Aeroflot Russian Airlines,1,"""denied boarding for no COVID test""",16th December 2020,TRUE,"  I purchased a ticket in November 2020 that had no COVID restrictions for transiting in Moscow, there is no policy for COVID testing when you transit Moscow. We were denied boarding for no COVID test, tho our destination, Turkey does not require any. We were denied boarding after being checked in, luggage tagged, boarding passes issued. Manager did not agree to ticket refund, tho it is a refundable ticket. ",,Couple Leisure,Economy Class,Los Angeles to Antalya via Mosco,December 2020,,,,1,,,1,no
Aeroflot Russian Airlines,1,"""almost 10 months to have my refund""",12th December 2020,TRUE,I bought my tickets for travel in April 2020 for my friend and I and unfortunately because of the Covid-19 my flight was cancelled. I’ve subscribe for a refund and 5 months later I still didn’t get news of it. I’ve send messages and answers was useless. So I’ve called the center the lady on the phone didn’t seem to understand what’s going on and she told me that I can’t do a refund anymore I need to do voucher. So I’ve decided to do my voucher and the website didn’t work. So I’ve sand email to the center again nd this afternoon I’ve tried the voucher with my friend name and she got her voucher back but you can only use 15% on it so how many flight I need to do to have my £800 back?. And with my name I can’t have my voucher I don’t know why for my ticket that put error.  I’ve been fighting during almost 10 months to have my refund. It shouldn’t take that time and that energy to have the money you said you’d pay me back.,,Solo Leisure,Economy Class,Brussels to Bangkok via Moscow,April 2020,,,,,,,1,no
Aeroflot Russian Airlines,1,"""The customer service was extremely poor""",2nd November 2020,FALSE,"  My flight was cancelled by Aeroflot back in April. We called multiple times throughout April, May and June and I was promised a refund of the full amount. It was obviously not up to me whether to take that flight or not and it is reasonable to expect a full refund. However refund was never provided. I tried to send multiple messages to the airline’s customer service as well with no response. Last week I tried to call Aeroflot customer service. I had to pay for the international call as there are no representatives in Australia where I live. The customer service was extremely poor. To be honest, I have not encountered such poor attitude in years and it was extremely frustrating. The customer service representative could not properly address any of the issues. She said that the only two options are a voucher and reissuing new ticket. Well, I don’t live in Russia or even Europe so there is absolutely no way I can use these options. The reason why I bought a ticket with Aeroflot was that the transfer time was convenient on my way from Rome to Tokyo, I was not even intending to visit Russia. I explained it and no, nothing she was willing to do, just continued quoting new Russian legislation that came into effect half a year after I bought the ticket! I asked to explain how come I was promised a refund previously and was held waiting for months and months and now it’s not an option. She couldn’t explain. She said I can submit complain through the feedback section. I explained that I have tried to communicate the issue through the feedback section already and not getting any response. She said she can’t help with. Then I asked her to connect me to her supervisor and no, she couldn’t do it for some reason. This is the first time ever I couldn’t speak to a customer service manager or a supervisor. Basically the company just decided to keep my money that I paid, go ahead with it and customer service did not care at all. I just lost a lot of money on the international call without any resolution. This situation is absolutely ridiculous and unacceptable. Every other airline I booked with that cancelled flights provided me a refund a while ago, despite COVID-19. Understand there are struggles at the moment and I did accept a voucher from an Australian airline because I can use it living in Australia. But I just can't use an Aeroflot voucher. The ticket wasn’t a cheap ticket either and it was refundable and it is outrageous that I can’t get money back for a ticket that was refundable (and I paid a premium for it to be refundable and have an option to receive a refund). I sent another message to the airline following the call and received the same response about vouchers that is pretty much just their copy paste from the customer service templates. The airline does not care about their customers and reputation and is just exploiting COVID-19 situation to hold customers’ cash for as long as possible (if not indefinite).",,Couple Leisure,Economy Class,Rome to Tokyo via Moscow,April 2020,,,,,,,1,no
Aeroflot Russian Airlines,1,"""above and beyond any competition from other European carriers""",31st October 2020,TRUE," London to Moscow on brand new A350-900. I must say I’ve experienced one of the best business class hard products in the world. Amazing suits with doors, featuring a huge and easy to navigate IFE screen with lots of movies and music, super comfortable lie-flat seat, lots of storage space, and great touches, such as a personal wardrobe, and a locker with a mirror. Staff were amazing, food was good (although I think Aeroflot still has a room for improvement here, especially if it wants to become a 5 star airline), and ground service was quick and efficient. All in all, Aeroflot’s A350 is definitely above and beyond any competition from other European carriers.",A350-900,Solo Leisure,Business Class,London to Moscow,October 2020,5,5,4,4,5,,5,yes
Aeroflot Russian Airlines,1,"""not refunding cancelled tickets""",23rd October 2020,TRUE,"  Aeroflot is not refunding cancelled tickets due to Corona. I booked many flights in the past months, all were refunded in a couple of months. Aeroflot refuses to do that, I am so disappointed.",,Solo Leisure,Economy Class,Hamburg to St. Petersburg,April 2020,,,,,,,2,no
Aeroflot Russian Airlines,9,"""the soft product is amazing""",27th August 2020,TRUE,"  London to Moscow on Aeroflot B773. I always wanted to try out their Comfort Class, and had an opportunity this time. I must say that the soft product is amazing. Excellent business class quality meals (must say, even better than in business class), highly professional, efficient and super friendly crew, good ground experience in London (many Aeroflot representatives at Heathrow, guiding and informing passengers at check in and near boarding). My big complaint though was the shell seat, which was hard to sit on, had really poor recline, and it’s footrest was quite useless. Otherwise, i loved the product and found it much more worthy in value than Aeroflot’s average European business class.",Boeing 777-300ER,Solo Leisure,Premium Economy,London to Moscow,August 2020,2,5,5,5,5,,5,yes
Aeroflot Russian Airlines,1,"""let registration for flight""",22nd August 2020,TRUE,"  On 8th August, 2020 we sent 8 seafarers via Aeroflot by flight SU2578 to London Heathrow where crew should had been departed the same day to the USA. All seafarers hold guarantee letters from agent in the USA, from Company, issued tickets to the USA and valid c1d USA visas. But check-in and registration was refused by Aeroflot at check-in desk and their representative at Sheremetevo Airport showed low competency while refusing registration. Aeroflot representative denied accept immigration exemption of UK government for transit of seafarers with valid C1D visas, refused talking to Company representative and was rude. On hot line of Aeroflot we were told that it is unacceptable that their representative behaved like this. Because of incompetence of Aeroflot employee we lost lot of time and nerves. All was solved once this employee finished his working day and more informed and professional representative let registration for flight for our seafarers. ",,Business,Economy Class,Moscow to London,August 2020,,,,1,,,1,no
Aeroflot Russian Airlines,1,"""keep saying my refund will be processed""",19th August 2020,TRUE,"  My flight from Madrid to Bangkok got cancelled due to COVID-19 pandemic, I been calling and emailing many times for 5 months, initially, they said it would take up to 10 days to process my refund, then they said they had so many cancellations and have to process each of them manually so I could take up to 2 month, called again after 2 month, they keep saying my refund will be processed buy they can't tell when. I will end up spending more money and time trying to solve this than the money spent on my ticket. They do not provide any solution, neither seem to care, they do not answer my emails. They are ghosting people trying to get them tired of calling emailing, claiming for their money, so they don't have to refund the money, offering vouchers. ",,Solo Leisure,Economy Class,Madrid to Bangkok via Moscow,April 2020,,,,,,,1,no
Aeroflot Russian Airlines,1,"""refunded fully the ticket costs""",10th August 2020,TRUE,Aeroflot refunded fully the ticket costs by clicking only only button. The process was easy and fast. My flight was not cancelled it’s just due to the new quarantine rules in the country of arrival I had to cancel the ticket. I was surprised and please to see how easy and fast the refund process is. Other airlines offer vouchers or refund only 30% of the ticket price whereas Aeroflot did it  on their website and refunded the full fare paid. I am very pleased with the service and would be happy to book again.,,Family Leisure,Economy Class,Moscow to London,August 2020,,,,,,,5,yes
Aeroflot Russian Airlines,1,"""wait 3 years for a refund""",6th August 2020,TRUE,"  Having had our flights cancelled due to covid, we were advised we could have a full refund. Several emails and calls to call centre confirmed the refund would be processed. Initially we would have the refund in 5-10 days, then 30 days then they could no longer give a time frame but rest assured our booking was in a special queue to be refunded. Flash forward to today, received an email stating we were getting a voucher. That’s it. Contacted call centre again who are now saying we can rebook or wait 3 years for a refund. Appalling customer service throughout this whole situation, €1000 down the drain as will not be flying anywhere during the voucher validity. I don’t see how you can confirm a refund is being processed then turn around and say it’s no longer an option. Shameful company, would not deal with them again in future even if it was my only option.",,Couple Leisure,Economy Class,Hanoi to Dublin via Moscow,April 2020,,,,,,,1,no
Aeroflot Russian Airlines,1,"""Flight was officially canceled""",23rd June 2020,TRUE,"  Vilnius to Tokyo via Moscow in January 2020 was a nightmare because my luggage was damaged and I spent about a month contacting them for compensation and I've got none. Nonetheless, customer support at Moscow airport doesn't care. While people were rushing and had urgent questions, all 3 women at the counter just put a ""break 15min"" sign and left. I had a ticket back to Lithuania on June 6th from Tokyo, through Moscow. I knew that the flight will be canceled because Lithuania embassy information was 100% sure that borders will be closed for traveling from Moscow until July 1st. However, when I called airline, they said that it's not true, and they are not sure about that, I still canceled my flight, because I always buy flights with cancelation option. (Flight was officially canceled just a couple days before the departure). Their policy says that return takes around 10 working days. Its been a month and all they say is Wait. Even customer support on the phone is poorly mannered. I understand that this epidemic time is very bad for airlines, but it is not a customer problem. ",,Solo Leisure,Economy Class,Vilnius to Tokyo via Moscow,January 2020,3,1,3,1,3,,3,no
Aeroflot Russian Airlines,1,"""offer me to use a voucher""",3rd June 2020,FALSE,Purchased full fare economy refundable ticket and upgraded to business class using my SU Bonus miles. Flight was cancelled by Aeroflot. To date unable to get my refund despite numerous calls to Aeroflot call center. All they are trying to do is offer me to use a voucher despite my ticket fare being subject to a full refund. No timeframe given as to when the refund will be processed. In addition my upgrade miles are also not processed and returned to my account yet. Aeroflot has strict rules when you are buying and paying but they seem not liable to follow any binding rules with regards to refunds.,,Business,Business Class,Moscow to Bangkok,April 2020,,,,,,,1,no
Aeroflot Russian Airlines,8,"""I really liked the service""",4th April 2020,TRUE,Moscow to Hanoi. I really liked the service. Clean cabin. Nice and comfortable seats. Very punctual. The entertainment had movies and sitcoms in several languages. They offer pillows and blankets. A complimentary amenity kit is offered as well. I liked the menu which was handed out pre flight and the food options. Enjoyed it.,Boeing 777-300ER,Solo Leisure,Economy Class,Moscow to Hanoi,September 2019,5,5,4,5,4,1,5,yes
Aeroflot Russian Airlines,2,"""They have a bad pillow""",24th March 2020,TRUE,Moscow to St Petersburgh. A new A350 plane with business class suites. They have a bad pillow which I do not find comfortable and a a bad blanket.,A350-900,Solo Leisure,Business Class,Moscow to St Petersburgh,March 2020,3,4,1,1,3,,1,no
Aeroflot Russian Airlines,2,"""will never fly with them again""",20th March 2020,TRUE,New York to Tel Aviv via Moscow. I paid $150 for upgrading from the Economy to premium economy. The flight was full and there was no place in premium economy so they gave me a regular seat in Economy. I contacted the flight attendant to refund the money I paid for the upgrade and she referred me to a customer service I called customer service twice and mail them about what happened and they obviously ignored and said they don’t know what I am talking about. I have been waiting a year for a refund! I will never fly with them again!,,Solo Leisure,Economy Class,New York to Tel Aviv via Moscow,April 2019,1,1,,1,2,1,1,no
Aeroflot Russian Airlines,2,"""Stewardesses are good""",19th March 2020,TRUE,"  Hong Kong to Moscow. Business class was very outdated, the seats are old.  Narrow seats, sometimes not fully disclosed. The food menu and quality is average. Stewardesses are good.",Boeing 777,Solo Leisure,Business Class,Hong Kong to Moscow,November 2019,2,4,2,1,2,,2,no
Aeroflot Russian Airlines,2,"""not very welcoming to me""",19th March 2020,TRUE,"  Athens to Moscow. A320 economy seats of a new type, very thin, hard. Sitting on these is not convenient. The choice of food was not great. Stewardesses were not very welcoming to me.",A320,Solo Leisure,Economy Class,Athens to Moscow,March 2020,1,2,1,2,,,1,no
Aeroflot Russian Airlines,1,"""Fantastic customer services""",8th March 2020,TRUE,"  Lyon to Moscow via Delhi. Fantastic customer services. I had a cancelled flight with another operator so missed my long haul, called the free helpline and the service was excellent and every easily resolved. I have flown a few times with Aeroflot and have always been very surprised at how good and easy the customer services are. Thankyou",,Solo Leisure,Economy Class,Lyon to Moscow via Delhi,February 2020,5,5,5,5,5,,5,yes
Aeroflot Russian Airlines,9,"""recommend them highly""",6th March 2020,TRUE,"  Bucharest to Moscow. My first time ever with Aeroflot and thoroughly enjoyed it. I can honestly say some of the best cabin service I have received anywhere. Cabin staff were friendly and warm and accommodated all requests and did everything with confidence and style. All were also immaculately attired and turned out. For a three hour flight, not overly long, they got in three services, a food run, then tea and coffee and duty free and made it look easy. I also loved the Sukhoi Superjet (SSJ100) despite all the stories about it. I chose to fly it deliberately, as I wanted to see for myself what it was like. Great little regional commuter. I found it very comfortable inside with ample leg room and a rear toilet that was huge - larger than on some big wide bodies. Plane was also very clean inside. No IFE but to be expected on short haul regional commutes and didn't phase me and didn't expect any. So my overall experience with Aeroflot from Bucharest to Moscow return, was outstanding and enjoyable and I can't think of anything to mark down. I will be flying with them again and will try a longer haul on a different aircraft to see how it compares. Based on two flights though, I would recommend them highly.",Sukhoi Superjet - SSJ100,Solo Leisure,Economy Class,Bucharest to Moscow,December 2019,4,5,4,4,,,5,yes
Aeroflot Russian Airlines,9,"""Cabin crews pleasant and working hard""",4th March 2020,TRUE," Ljubljana to Moscow. Both flights on time. Cabin nice and fresh, seating much better than average in economy. To my surprise, Aeroflot introduced hot meals also for flights of less than 3 hours. Menu card for lunch with 2 options and in return for breakfast with 3, meals nice and tasty. Cabin crews pleasant and working hard. Overall, great flights. The only problem is that they do not send relevant information to passengers, e.g. 24 hours before departure the departure terminal in the mail from Aeroflot was F, which was wrong, the departure terminal was actually D, a very different one far away. Still, when it comes to economy product Aeroflot and Turkish stand out from the rest in Europe.",A320,Solo Leisure,Economy Class,Ljubljana to Moscow,March 2020,5,5,5,4,,,4,yes
Aeroflot Russian Airlines,1,"""cannot thank you enough""",2nd March 2020,TRUE,"  London to Dubai via Moscow. I would like to take this opportunity to thank you for the service provided from staff when buying our ticket at Heathrow Terminal 4. The service is second to none. When we got to Dubai was brilliant as per your advice, we are welcomed from the immigration and no trouble at all. We cannot thank you enough and staff at Heathrow are an assets to Aeroflot. Definitely will visit Moscow next time with your company!",,Family Leisure,Economy Class,London to Dubai via Moscow,February 2020,5,5,5,5,5,,5,yes
Aeroflot Russian Airlines,1,"""so unfriendly to me""",11th February 2020,TRUE,"  Phuket to Oslo via Moscow. The crew on board were so unfriendly to me, and the ground crew were worse. I have never had such a negative experience with any airline. They were not lifting a finger to help me, even when the flight was delayed and security process on transit was so slow that we missed our flight. They had no procedure of how to take care of passengers that missed their connection flight, and we were stuck at Moscow airport with two toddlers. My advise is simply to stay away.",,Family Leisure,Economy Class,Phuket to Oslo via Moscow,January 2020,1,1,1,1,,,1,no
Aeroflot Russian Airlines,7,"""gave me value for money""",7th February 2020,TRUE,"  New York to Delhi via Moscow. The major reason behind traveling in Aeroflot is cheaper fare for the last minute booking. Although the service quality was not very good it gave me value for money. The check in process was smooth and departing terminal was quite empty. Check in agent was courteous. Cabin crews were helpful but language was the bar.  The food quality was not so good. Particularly for the SVO-DEL flight. Not only the quality, but also quantity was very low.  The inlfight entertainment was not good for non-Russian passengers. lthough they provides Wifi connectivity, but no free data. Also, data was costly. It would be good to have a small amount (may be 20 MB) of free data.",Boeing 777  / A330,Solo Leisure,Economy Class,New York to Delhi via Moscow,November 2019,4,4,2,5,1,1,5,yes
Aeroflot Russian Airlines,1,"""laptop backpack was too bulky""",6th February 2020,TRUE,"  Amsterdam to Hanoi via Moscow. The airline staff weighed my suitcase and backpack and threatened to not be allowed to board for the reason that my laptop backpack was too bulky and my hand suitcase was 1kg more than the allowance, they said that the flight was full. I told him I checked in from Amsterdam and all my hand luggage was fine, what can I do now, can I pay for this. He literally shouted ""You have 3 minutes to throw away your stuff now or you stay in Moscow tonight!"".  I had to throw away some of my clothes, bag of cosmetics,  book, notebook, bag of socks from my hand luggage and backpack.  Then they finally let me pass, I went on to the plane and waited until everybody has boarded to see the whole plane was at least 20% empty seated? Their staff cannot treat its client this.",,Solo Leisure,Economy Class,Amsterdam to Hanoi via Moscow,February 2020,3,2,2,1,2,,3,no
Aeroflot Russian Airlines,2,"""bag being 3cm too large""",29th January 2020,TRUE,"  Athens to Moscow. Rude customer service to me, and for my bag being 3cm too large, they made me check my bag and pay 100€. ",,Solo Leisure,Economy Class,Athens to Moscow,January 2020,1,1,1,1,,,2,no
Aeroflot Russian Airlines,2,"""Not a single goodwill action""",20th January 2020,TRUE,"  Irkutsk to Moscow on SU1443. They re-scheduled a flight 3h30 later than it was supposed to be. Aeroflot tends to forget that people pay to get on a certain schedule, to arrive at a certain time. In my case, I had further connections to take and I reached the gate on time. Delays happen to every companies. However, Aeroflot did not offer to change the booking as such a delay may cause me to miss connections, and with an expiring visa, being trapped din Russia is the last thing I hope at the end of my holiday. No refreshments at the airport provided by Aeroflot, no information about the updated check-in time.  Not a single goodwill action. I won't travel by Aeroflot anymore. ",Boeing 737 800,Solo Leisure,Economy Class,Irkutsk to Moscow svo,January 2020,3,1,2,2,,,4,no
Aeroflot Russian Airlines,1,"""I tried to change the meal""",8th January 2020,TRUE,Tel Aviv to Moscow. I ordered diabetic meal which was just not edible for me. when I tried to change the meal for the flight back they said its not possible because its 24 hours before the flight. I don't think 24 hours notification is unreasonable for changes about food.,,Solo Leisure,Economy Class,Tel Aviv to Moscow,January 2020,3,2,1,1,3,3,3,no
Aeroflot Russian Airlines,2,"""suitcase was also broken""",7th January 2020,TRUE,"  London to Hong Kong via Moscow. Experience on board the plane was fine I was actually pleased with this. But upon arriving to my destination I was told 1 of my suitcases had not arrived and I will receive it the next day, then when my first case arrived one of the bottom wheels had been smashed off.! The next day when my other suitcase had arrived and been delivered to my home address this suitcase was also broken.",,Solo Leisure,Economy Class,London to Hong Kong via Moscow,January 2020,3,3,3,1,3,,1,no
Aeroflot Russian Airlines,6,"""smiling and attentive cabin crew""",7th January 2020,TRUE," Moscow to Helsinki with Aeroflot. Relatively good flight: waiting for check-in took ~15min, then it was very fast. Flight on time, relatively comfortable seats, legroom decent, smiling and attentive cabin crew. Negative point: the snack served on board was a sandwich with beef, with no other alternatives - airlines should make an effort to at least offer two options (meat / non meat).",,Solo Leisure,Economy Class,Moscow to Helsinki,January 2020,3,4,2,3,,,4,yes
Aeroflot Russian Airlines,1,"""not allowed to change seats""",5th January 2020,TRUE,"  Ho Chi Minh to Amsterdam via Moscow. We paid 100 euro more to select seats, with this I hoped that I would be able to book the extra leg space, I would not even mind to pay again a bit extra, this was not possible, we called with the airline and asked if they could book them for us. This was not possible, we should do this at the airport 24 hours before check in, we went to the airport to arrange this, this was not possible, we should do this in Moskou. There we had 1.5 hour transfer time. Next day we checked in and we will fix the extra leg space in Moskou, when we arrived in Moskou we had to wait in a line, because of a delay we had 45 minutes transfer time. At the transfer desk we tried to get the extra legspace.  During the flight there were many rows with the extra legspace free. I was not allowed to change seats. For the way back we managed it differently, we went again 24 hours before to the airport... no aeroflot desk.. For this flight back we managed it. With good mood at the gate the new hell starts .. 1 hour delay because of cleaning the plane and we had again 1.5 hours to transfer - arrived Moscow 35 mins late. hour long flight in stress because of the staff who can only say you go to transfer desk.",,Couple Leisure,Economy Class,Ho Chi Minh to Amsterdam via Moscow,January 2020,1,1,,1,,,1,no
Aeroflot Russian Airlines,1,"""cancel my booking with a refund""",25th December 2019,TRUE,"  Amsterdam to Hong Kong via Moscow. 13 days before my departure date, I got a message that my flight was canceled and an alternative flight was offered to me with a departure date which was 1 day earlier than my original flight. Although it was very inconvenient, I agreed on taking the alternative flight. Then 5 days before my flight, I got the message that my alternative flight was full and there was no other option then to cancel my booking with a refund. I was therefore forced to find an alternative flight myself within 5 days.  I did manage to find an alternative flight but it cost me way much more than what I originally booked.",,Solo Leisure,Economy Class,Amsterdam to Hong Kong via Moscow,December 2019,,,,,,,1,no
